,time,Open,High,Low,Close,Volume
0,2024-03-20 00:00:00+03:30,3933888999.0,4090000000.0,3780000000.0,4090000000.0,47.9128027418
1,2024-03-21 00:00:00+03:30,4090000000.0,4155294225.0,4002031713.0,4079666666.0,49.0072253303
2,2024-03-22 00:00:00+03:30,4075586999.0,4125000000.0,3914358141.0,3975001001.0,39.3832647433
3,2024-03-23 00:00:00+03:30,3975001002.0,4050426900.0,3914000000.0,3992013000.0,30.3075496249
4,2024-03-24 00:00:00+03:30,3992013000.0,4082611000.0,3940000000.0,4080017000.0,27.7102712219
5,2024-03-25 00:00:00+03:30,4082600000.0,4333789333.0,4051380000.0,4330000000.0,60.9447053071
6,2024-03-26 00:00:00+03:30,4328000000.0,4370000800.0,4203000000.0,4270000000.0,48.4171831356
7,2024-03-27 00:00:00+03:30,4263907001.0,4370000000.0,4240766543.0,4272899999.0,29.95539572
8,2024-03-28 00:00:00+03:30,4272999511.0,4365000100.0,4258000000.0,4352350000.0,30.5943620384
9,2024-03-29 00:00:00+03:30,4352350500.0,4355500000.0,4280000987.0,4308000200.0,20.8656686314
10,2024-03-30 00:00:00+03:30,4311999000.0,4350000000.0,4305000000.0,4320000000.0,13.7803793006
11,2024-03-31 00:00:00+03:30,4320000000.0,4400000000.0,4311000000.0,4373244203.0,20.4051590562
12,2024-04-01 00:00:00+03:30,4378250013.0,4399900000.0,4281000000.0,4365047002.0,31.6319555268
13,2024-04-02 00:00:00+03:30,4365080003.0,4390000000.0,4090000000.0,4213000000.0,55.750343856
14,2024-04-03 00:00:00+03:30,4213000000.0,4270000000.0,4145000000.0,4221131440.0,22.1589206503
15,2024-04-04 00:00:00+03:30,4229999999.0,4410000000.0,4207011000.0,4335990000.0,45.909599579
16,2024-04-05 00:00:00+03:30,4345947799.0,4421000000.0,4301222222.0,4360000100.0,31.3431899557
17,2024-04-06 00:00:00+03:30,4360000001.0,4410000000.0,4358004002.0,4400999999.0,17.1709568752
18,2024-04-07 00:00:00+03:30,4400000000.0,4500000000.0,4385000000.0,4406995000.0,39.003299046
19,2024-04-08 00:00:00+03:30,4407636000.0,4544444444.0,4405000000.0,4503899999.0,41.5787272408
20,2024-04-09 00:00:00+03:30,4498999999.0,4520000000.0,4415000000.0,4464880000.0,30.8255090125
21,2024-04-10 00:00:00+03:30,4454090400.0,4518999900.0,4430000000.0,4515515003.0,23.2958529951
22,2024-04-11 00:00:00+03:30,4518999996.0,4589000000.0,4510000000.0,4587999799.0,30.0162248249
23,2024-04-12 00:00:00+03:30,4587999799.0,4592000000.0,4484000000.0,4516500000.0,30.5189011756
24,2024-04-13 00:00:00+03:30,4516500000.0,4592000000.0,4440000000.0,4460001001.0,39.6207170029
25,2024-04-14 00:00:00+03:30,4450000001.0,4643000000.0,4211111111.0,4350000000.0,71.5463633392
26,2024-04-15 00:00:00+03:30,4350000000.0,4529336183.0,4236000499.0,4284965236.0,42.6732978433
27,2024-04-16 00:00:00+03:30,4284965236.0,4339999999.0,3950000000.0,4197000000.0,40.4616219789
28,2024-04-17 00:00:00+03:30,4196999999.0,4296669999.0,4009000000.0,4098443400.0,39.4104284655
29,2024-04-18 00:00:00+03:30,4097002003.0,4296486998.0,4057500000.0,4253000000.0,40.8966239248
30,2024-04-19 00:00:00+03:30,4250200000.0,4371000000.0,4100000009.0,4250000000.0,46.6884640931
31,2024-04-20 00:00:00+03:30,4245238999.0,4283887000.0,4150500000.0,4198999999.0,29.7958686062
32,2024-04-21 00:00:00+03:30,4198999999.0,4240000000.0,4160500000.0,4193600000.0,25.0404354371
33,2024-04-22 00:00:00+03:30,4193600000.0,4340000000.0,4193600000.0,4330000000.0,28.0400544033
34,2024-04-23 00:00:00+03:30,4330000000.0,4361259999.0,4275000000.0,4286649600.0,19.1546309401
35,2024-04-24 00:00:00+03:30,4289999999.0,4324999000.0,4060000000.0,4063000000.0,31.2607256596
36,2024-04-25 00:00:00+03:30,4083899695.0,4160000000.0,3982650000.0,4111000000.0,26.1097094949
37,2024-04-26 00:00:00+03:30,4110000000.0,4155000000.0,4001000000.0,4015000000.0,14.9267528645
38,2024-04-27 00:00:00+03:30,4012000000.0,4028999900.0,3840000000.0,3861326004.0,28.7030700357
39,2024-04-28 00:00:00+03:30,3861226006.0,3951839299.0,3817777777.0,3846999999.0,14.758245839
40,2024-04-29 00:00:00+03:30,3842002009.0,3864999998.0,3730000000.0,3829000003.0,23.0603303186
41,2024-04-30 00:00:00+03:30,3828002002.0,3940000000.0,3700100800.0,3736000000.0,28.0459174129
42,2024-05-01 00:00:00+03:30,3736000000.0,3830000000.0,3400000050.0,3522925000.0,53.186858068
43,2024-05-02 00:00:00+03:30,3519817100.0,3645678900.0,3470000002.0,3614999999.0,30.2201132095
44,2024-05-03 00:00:00+03:30,3608101000.0,3839899865.0,3570805820.0,3834595000.0,36.7705446466
45,2024-05-04 00:00:00+03:30,3834594997.0,3929907926.0,3790000099.0,3889999000.0,31.5604029745
46,2024-05-05 00:00:00+03:30,3884882000.0,3890000000.0,3800862006.0,3845775776.0,22.04577621
47,2024-05-06 00:00:00+03:30,3845775776.0,3974900000.0,3833334338.0,3862087546.0,29.0636065076
48,2024-05-07 00:00:00+03:30,3867099000.0,3924299997.0,3838000000.0,3844211111.0,13.8646481936
49,2024-05-08 00:00:00+03:30,3844211111.0,3869495000.0,3760000000.0,3773000100.0,15.7721708079
50,2024-05-09 00:00:00+03:30,3773000100.0,3821000000.0,3701889558.0,3805125125.0,17.2923198047
51,2024-05-10 00:00:00+03:30,3809930725.0,3865000000.0,3702025819.0,3722103001.0,21.8531644003
52,2024-05-11 00:00:00+03:30,3722000000.0,3740000000.0,3665555556.0,3698289103.0,11.3048707889
53,2024-05-12 00:00:00+03:30,3698289103.0,3714999998.0,3661381530.0,3689788999.0,9.3196466496
54,2024-05-13 00:00:00+03:30,3689788999.0,3760000008.0,3666000555.0,3735899000.0,19.3524824293
55,2024-05-14 00:00:00+03:30,3725165000.0,3735500000.0,3615000111.0,3635000000.0,13.0852841434
56,2024-05-15 00:00:00+03:30,3632516002.0,3895000000.0,3630000000.0,3859001362.0,37.8468020476
57,2024-05-16 00:00:00+03:30,3859001362.0,3864695968.0,3740000101.0,3786006200.0,26.7197919819
58,2024-05-17 00:00:00+03:30,3786006200.0,3908598917.0,3782000000.0,3863794000.0,20.33445948
59,2024-05-18 00:00:00+03:30,3855106100.0,3867999999.0,3755000000.0,3771000000.0,17.7241593725
60,2024-05-19 00:00:00+03:30,3771127000.0,3952000005.0,3761024008.0,3865042675.0,32.4223714937
61,2024-05-20 00:00:00+03:30,3865042675.0,3950000000.0,3820000000.0,3917984004.0,27.0372770672
62,2024-05-21 00:00:00+03:30,3917984004.0,4080999999.0,3879000000.0,3956632799.0,42.1439608072
