time,Open,High,Low,Close,Volume
2025-02-19 00:00:00+03:30,8640000000.0,8743000000.0,8620002000.0,8740000000.0,0.8837060629
2025-02-19 01:00:00+03:30,8720000000.0,8740000000.0,8691338711.0,8733999999.0,0.2487966476
2025-02-19 02:00:00+03:30,8701100012.0,8739879499.0,8701100005.0,8735999997.0,0.1495520825
2025-02-19 03:00:00+03:30,8735999999.0,8735999999.0,8706000000.0,8712008990.0,0.1145361127
2025-02-19 04:00:00+03:30,8712008990.0,8734994999.0,8706000000.0,8734994956.0,0.0442776153
2025-02-19 05:00:00+03:30,8734994956.0,8750000000.0,8701100005.0,8749999000.0,0.296305001
2025-02-19 06:00:00+03:30,8748000000.0,8759000000.0,8645000000.0,8756999999.0,0.3199911228
2025-02-19 07:00:00+03:30,8756999999.0,8756999999.0,8709284000.0,8711113112.0,0.3085953768
2025-02-19 08:00:00+03:30,8711113113.0,8741251047.0,8670000000.0,8680201010.0,0.278977794
2025-02-19 09:00:00+03:30,8680204015.0,8709284001.0,8680204015.0,8686321999.0,0.3206325164
2025-02-19 10:00:00+03:30,8686321999.0,8745017000.0,8686321999.0,8728004002.0,0.4445788462
2025-02-19 11:00:00+03:30,8728004002.0,8753333333.0,8693377949.0,8753333333.0,0.8465550531
2025-02-19 12:00:00+03:30,8753999989.0,8760000000.0,8724999008.0,8760000000.0,0.7899425724
2025-02-19 13:00:00+03:30,8760000000.0,8800000000.0,8759000000.0,8799999887.0,1.4964370279
2025-02-19 14:00:00+03:30,8799999887.0,8820000000.0,8771103708.0,8791000000.0,0.8869591569
2025-02-19 15:00:00+03:30,8791000000.0,8834746420.0,8786125683.0,8801142001.0,0.7440016121
2025-02-19 16:00:00+03:30,8810000005.0,8829444443.0,8791000002.0,8795000000.0,0.4392109677
2025-02-19 17:00:00+03:30,8795000000.0,8829440000.0,8777900000.0,8792018525.0,0.5958729289
2025-02-19 18:00:00+03:30,8792018526.0,8829000000.0,8760000000.0,8775000001.0,0.6749291432
2025-02-19 19:00:00+03:30,8789800000.0,8820000000.0,8770242000.0,8815000000.0,0.6127228234
2025-02-19 20:00:00+03:30,8814000000.0,8820000000.0,8777226029.0,8778029015.0,0.5911436105
2025-02-19 21:00:00+03:30,8778029015.0,8820000000.0,8770250000.0,8800900001.0,0.487950135
2025-02-19 22:00:00+03:30,8800900001.0,8813999996.0,8760000000.0,8775126423.0,0.4189002837
2025-02-19 23:00:00+03:30,8798000000.0,8814900000.0,8775126424.0,8790023007.0,0.4639716525
2025-02-20 00:00:00+03:30,8790023007.0,8819926081.0,8783200000.0,8790238402.0,0.5054169017
2025-02-20 01:00:00+03:30,8790238403.0,8816000000.0,8790230402.0,8805325000.0,0.1950290454
2025-02-20 02:00:00+03:30,8803000989.0,8834000000.0,8800151000.0,8833999988.0,0.4741826029
2025-02-20 03:00:00+03:30,8834000000.0,8834000000.0,8803931517.0,8833803111.0,0.0527535573
2025-02-20 04:00:00+03:30,8810123451.0,8836225803.0,8796073563.0,8836225802.0,0.2734280197
2025-02-20 05:00:00+03:30,8836225794.0,8837000000.0,8796073563.0,8836000000.0,0.3092739662
2025-02-20 06:00:00+03:30,8829999999.0,8845333162.0,8800000000.0,8821036000.0,0.4394039759
2025-02-20 07:00:00+03:30,8845299999.0,8855639802.0,8821190005.0,8853909108.0,0.4912385936
2025-02-20 08:00:00+03:30,8853909108.0,8869413127.0,8823544209.0,8860000898.0,0.7172347731
2025-02-20 09:00:00+03:30,8866000000.0,8870000000.0,8844000898.0,8869998987.0,0.3907000543
2025-02-20 10:00:00+03:30,8869998987.0,8878000000.0,8845374470.0,8857115000.0,0.6766815393
2025-02-20 11:00:00+03:30,8857115001.0,8900000001.0,8857113010.0,8900000001.0,1.0242882451
2025-02-20 12:00:00+03:30,8900000002.0,8949000000.0,8890000000.0,8921145010.0,1.079552503
2025-02-20 13:00:00+03:30,8922100000.0,8950000000.0,8922100000.0,8940000000.0,0.8039731149
2025-02-20 14:00:00+03:30,8948999999.0,8950000000.0,8926027002.0,8949999998.0,0.7689702192
2025-02-20 15:00:00+03:30,8949999998.0,8950000000.0,8926000000.0,8949999996.0,0.7730005341
2025-02-20 16:00:00+03:30,8949999996.0,8950000000.0,8930000009.0,8949999999.0,0.4985685648
2025-02-20 17:00:00+03:30,8949999999.0,9000000000.0,8946814140.0,8999999000.0,1.1220235438
2025-02-20 18:00:00+03:30,8985800001.0,9000000000.0,8890000004.0,8915004001.0,1.6732698456
2025-02-20 19:00:00+03:30,8915000000.0,8991212698.0,8915000000.0,8971473569.0,0.6308921789
2025-02-20 20:00:00+03:30,8972000000.0,9000000000.0,8921546959.0,9000000000.0,1.4350237028
2025-02-20 21:00:00+03:30,9000000000.0,9050210699.0,8960000000.0,9048995999.0,1.2834523192
2025-02-20 22:00:00+03:30,9048995999.0,9060000000.0,9000000115.0,9029999999.0,0.7091807012
2025-02-20 23:00:00+03:30,9029999999.0,9040000000.0,8941000000.0,8943000000.0,0.9602899159
2025-02-21 00:00:00+03:30,8944999998.0,8972440230.0,8718021040.0,8784444981.0,2.2099655602
2025-02-21 01:00:00+03:30,8784444981.0,8844824655.0,8710000000.0,8800100012.0,1.0469678825
2025-02-21 02:00:00+03:30,8800100012.0,8848799000.0,8716666665.0,8716666665.0,0.6375748829
2025-02-21 03:00:00+03:30,8716666665.0,8757252134.0,8658565586.0,8702999999.0,0.9641542684
2025-02-21 04:00:00+03:30,8703000002.0,8736161311.0,8669549126.0,8729429252.0,0.2475366142
2025-02-21 05:00:00+03:30,8685999992.0,8799999999.0,8685999992.0,8713340694.0,0.2032656177
2025-02-21 06:00:00+03:30,8713340699.0,8800000000.0,8690000000.0,8734208838.0,0.241716909
2025-02-21 07:00:00+03:30,8704990011.0,8841683366.0,8686003000.0,8798207445.0,0.2337510655
2025-02-21 08:00:00+03:30,8798207445.0,8822143358.0,8691682397.0,8792352143.0,0.2486645718
2025-02-21 09:00:00+03:30,8807259818.0,8899999998.0,8792000004.0,8893999999.0,0.5419510569
2025-02-21 10:00:00+03:30,8897999000.0,8933272903.0,8885021171.0,8933272903.0,0.5765540163
2025-02-21 11:00:00+03:30,8930005000.0,8933272903.0,8860000005.0,8861301000.0,0.5103840219
2025-02-21 12:00:00+03:30,8861301000.0,8876499999.0,8815873178.0,8832447003.0,0.5792850935
2025-02-21 13:00:00+03:30,8832447002.0,8900000000.0,8800000111.0,8889998992.0,0.4196701406
2025-02-21 14:00:00+03:30,8889998992.0,8910999997.0,8830102000.0,8875053053.0,0.3346625258
2025-02-21 15:00:00+03:30,8910999994.0,8930000000.0,8862060019.0,8926999997.0,0.3510334835
2025-02-21 16:00:00+03:30,8927000000.0,8948555000.0,8900140048.0,8925504011.0,0.6354942997
2025-02-21 17:00:00+03:30,8943995997.0,8997999999.0,8924000000.0,8948999999.0,0.7850637608
2025-02-21 18:00:00+03:30,8932002003.0,8990000000.0,8815873178.0,8818000001.0,0.8949134801
2025-02-21 19:00:00+03:30,8849994995.0,8944444444.0,8720000000.0,8900000001.0,1.1830034346
2025-02-21 20:00:00+03:30,8900000001.0,8925000000.0,8860000002.0,8870000002.0,0.5195630571
2025-02-21 21:00:00+03:30,8875000001.0,8887999999.0,8805000000.0,8805000000.0,0.6327058076
2025-02-21 22:00:00+03:30,8821999001.0,8829999996.0,8668000000.0,8668000000.0,1.2711999329
2025-02-21 23:00:00+03:30,8670000010.0,8750000000.0,8668000000.0,8711666666.0,1.0834227307
2025-02-22 00:00:00+03:30,8718248337.0,8750000000.0,8673826455.0,8679898889.0,0.9743916476
2025-02-22 01:00:00+03:30,8673826455.0,8788141414.0,8670000000.0,8788141414.0,0.219776691
2025-02-22 02:00:00+03:30,8788141414.0,8799999999.0,8742257003.0,8759100044.0,0.2113670607
2025-02-22 03:00:00+03:30,8799997987.0,8830015245.0,8760000182.0,8828999927.0,0.2763895653
2025-02-22 04:00:00+03:30,8800000001.0,8830774101.0,8784219834.0,8799000131.0,0.0641912932
2025-02-22 05:00:00+03:30,8799000330.0,8850000000.0,8799000329.0,8843999997.0,0.090205018
2025-02-22 06:00:00+03:30,8823880310.0,8849989599.0,8823880308.0,8849989598.0,0.0942885945
2025-02-22 07:00:00+03:30,8849989599.0,8880000000.0,8823000000.0,8879998990.0,0.3396457409
2025-02-22 08:00:00+03:30,8879998990.0,8879998990.0,8847000001.0,8877999997.0,0.249990032
